seed,scenario,depth,step,arrived_cum,arrivals_step,queue,avg_wait_step,reward,cum_reward,AI_step,phase,green_duration,active_vehicles
1,Moderate,0.28,1620,321,1,1,4.222222222222222,1.3193666451545099,63.875569687182086,0.4252,3,61,9
1,Moderate,0.28,1680,332,0,2,1.375,0.26168129353547553,83.46396784485756,0.4598,5,55,8
1,Moderate,0.28,1740,339,0,2,21.4,0.020612316402962294,101.78455066718111,0.3361,0,53,5
1,Moderate,0.28,1800,344,1,8,7.142857142857143,0.5833734833501838,103.48588875885,0.4383,1,52,14
1,Moderate,0.28,1860,363,1,13,44.94117647058823,-0.381720504914332,63.024284903386665,0.2131,2,77,17
1,Moderate,0.28,1920,380,1,2,0.35714285714285715,1.2897306477332318,41.82243084408622,0.5343,3,65,14
1,Moderate,0.28,1980,404,1,1,0.2,1.397762338753985,78.20205681594001,0.5693,4,57,5
1,Moderate,0.28,2040,410,0,2,2.4285714285714284,0.278320974623526,99.55252875199925,0.5629,5,60,7
1,Moderate,0.28,2100,419,0,2,1.6666666666666667,0.24385431882464936,119.27169260737388,0.5807,0,43,6
1,Moderate,0.28,2160,427,1,5,6.428571428571429,0.9008713239359645,131.40624811916325,0.5603,1,52,14
1,Moderate,0.28,2220,438,0,12,38.266666666666666,-1.1844638025176435,106.41969065739201,0.3635,2,75,15
1,Moderate,0.28,2280,452,0,2,1.7692307692307692,0.2789065446721688,102.29246014354645,0.6266,3,49,13
1,Moderate,0.28,2340,470,0,4,7.3,0.02672233418599601,128.143344487927,0.6152,4,74,10
1,Moderate,0.28,2400,479,2,2,6.111111111111111,2.2374076375554237,153.49653821501425,0.6358,5,64,9
1,Moderate,0.28,2460,495,1,2,2.0,1.2601574529669128,175.23565371383177,0.6858,0,51,8
1,Moderate,0.28,2520,499,0,4,9.8,-0.04840040345440172,179.98474462947712,0.6395,1,61,10
1,Moderate,0.28,2580,513,0,6,6.9,-0.19571768457895167,179.9785273304503,0.6786,2,70,10
1,Moderate,0.28,2640,526,0,2,0.6666666666666666,0.2869507428703345,185.76107762656105,0.7385,3,78,12
1,Moderate,0.28,2700,541,0,2,6.833333333333333,0.223492139310476,213.26889490124452,0.7186,3,78,6
1,Moderate,0.28,2760,554,1,1,2.2,1.3800822785677755,248.07951996619713,0.7678,4,69,5
1,Moderate,0.28,2820,561,1,2,12.8,1.1446925023690417,267.85602964238086,0.707,5,50,10
1,Moderate,0.28,2880,570,0,2,49.6,-0.33129415002614265,272.46904689123613,0.4744,0,54,5
1,Moderate,0.28,2940,590,0,1,0.875,0.38482728094515295,307.89796659456584,0.8275,1,66,8
1,Moderate,0.28,3000,600,0,2,4.666666666666667,0.23582890236674217,332.6271083091015,0.8163,2,60,6
1,Moderate,0.28,3060,611,0,0,0.0,0.4879997222654679,362.18458351359106,0.863,3,61,4
1,Moderate,0.28,3120,620,0,1,4.5,0.3464169258489846,394.60269432062404,0.8457,4,72,2
1,Moderate,0.28,3180,623,0,2,14.11111111111111,0.11080786136293025,407.21796776458876,0.7859,5,63,9
1,Moderate,0.28,3240,636,0,2,13.4,0.13489977877332981,430.4255059130139,0.809,0,60,5
1,Moderate,0.28,3300,645,0,5,21.875,-0.2820411660611795,436.6920953024998,0.7652,1,61,8
1,Moderate,0.28,3360,656,0,5,13.5,-0.1633876067086491,437.9670462132874,0.8366,2,76,10
1,Moderate,0.28,3420,668,1,3,6.333333333333333,1.1269123907184158,460.05671268585775,0.9013,3,66,6
1,Moderate,0.28,3480,675,0,5,2.6666666666666665,-0.03387035336140387,477.68519483805926,0.9356,4,62,12
1,Moderate,0.28,3540,688,0,2,5.222222222222222,0.23525755053703884,487.31080043464743,0.9369,5,60,9
1,Severe,0.55,0,0,0,0,0.0,0.0,0.0,0.0,0,20,0
1,Severe,0.55,60,1,0,3,5.0,-0.31766129965175055,-1.6343146552673449,-0.0296,1,57,5
1,Severe,0.55,120,2,0,4,17.333333333333332,-0.478350047104491,-15.794703165153475,-0.108,2,68,6
1,Severe,0.55,180,5,0,4,7.25,-0.33548491977162953,-24.621263113089245,-0.0295,3,51,12
1,Severe,0.55,240,11,0,0,0.0,0.2887829715967213,-26.301786037092448,0.0414,4,64,12
1,Severe,0.55,300,12,0,2,5.647058823529412,0.014082361104555519,-20.691472259651025,0.0075,5,60,17
1,Severe,0.55,360,15,0,1,1.9411764705882353,0.15440546506701994,-10.007579010431723,0.0434,0,51,17
1,Severe,0.55,420,20,0,0,0.0,0.3053686599486455,8.454459719087655,0.0752,2,56,16
1,Severe,0.55,480,22,0,0,0.0,0.30878660484675663,28.53384385338376,0.0827,3,57,15
1,Severe,0.55,540,26,0,5,2.933333333333333,-0.2068540384025131,39.833834404568904,0.0782,4,41,15
1,Severe,0.55,600,36,0,1,1.625,0.2788524898496272,54.10135085053631,0.1245,5,61,8
1,Severe,0.55,660,40,0,1,2.75,0.2812926869344364,76.58599619416674,0.132,0,63,8
1,Severe,0.55,720,44,1,0,0.0,1.402089679601629,98.99282980265745,0.1654,1,55,10
1,Severe,0.55,780,49,0,2,5.818181818181818,0.1419328764686013,120.83554689947741,0.1454,2,59,11
1,Severe,0.55,840,54,0,1,2.5454545454545454,0.30800114786576327,141.3845613009836,0.186,3,67,11
1,Severe,0.55,900,57,0,3,5.166666666666667,0.07354937614614337,160.62506475810466,0.1798,4,71,12
1,Severe,0.55,960,62,0,0,0.0,0.4394590197766696,186.54200996888468,0.2331,5,62,8
